DateStr,State,Count,Status
2020-06-02,an,0,Confirmed
2020-06-02,an,0,Recovered
2020-06-02,an,0,Deceased
2020-06-02,ap,115,Confirmed
2020-06-02,ap,40,Recovered
2020-06-02,ap,0,Deceased
2020-06-02,ar,5,Confirmed
2020-06-02,ar,0,Recovered
2020-06-02,ar,0,Deceased
2020-06-02,as,74,Confirmed
2020-06-02,as,53,Recovered
2020-06-02,as,0,Deceased
2020-06-02,br,151,Confirmed
2020-06-02,br,62,Recovered
2020-06-02,br,1,Deceased
2020-06-02,ch,4,Confirmed
2020-06-02,ch,0,Recovered
2020-06-02,ch,1,Deceased
2020-06-02,ct,15,Confirmed
2020-06-02,ct,9,Recovered
2020-06-02,ct,1,Deceased
2020-06-02,dd,0,Confirmed
2020-06-02,dd,0,Recovered
2020-06-02,dd,0,Deceased
2020-06-02,dl,1298,Confirmed
2020-06-02,dl,497,Recovered
2020-06-02,dl,33,Deceased
2020-06-02,dn,0,Confirmed
2020-06-02,dn,0,Recovered
2020-06-02,dn,0,Deceased
2020-06-02,ga,6,Confirmed
2020-06-02,ga,7,Recovered
2020-06-02,ga,0,Deceased
2020-06-02,gj,415,Confirmed
2020-06-02,gj,1114,Recovered
2020-06-02,gj,29,Deceased
2020-06-02,hp,5,Confirmed
2020-06-02,hp,18,Recovered
2020-06-02,hp,0,Deceased
2020-06-02,hr,296,Confirmed
2020-06-02,hr,14,Recovered
2020-06-02,hr,2,Deceased
2020-06-02,jh,61,Confirmed
2020-06-02,jh,0,Recovered
2020-06-02,jh,0,Deceased
2020-06-02,jk,117,Confirmed
2020-06-02,jk,7,Recovered
2020-06-02,jk,2,Deceased
2020-06-02,ka,388,Confirmed
2020-06-02,ka,75,Recovered
2020-06-02,ka,0,Deceased
2020-06-02,kl,86,Confirmed
2020-06-02,kl,19,Recovered
2020-06-02,kl,1,Deceased
2020-06-02,la,4,Confirmed
2020-06-02,la,0,Recovered
2020-06-02,la,1,Deceased
2020-06-02,ld,0,Confirmed
2020-06-02,ld,0,Recovered
2020-06-02,ld,0,Deceased
2020-06-02,mh,2287,Confirmed
2020-06-02,mh,1225,Recovered
2020-06-02,mh,103,Deceased
2020-06-02,ml,2,Confirmed
2020-06-02,ml,0,Recovered
2020-06-02,ml,0,Deceased
2020-06-02,mn,6,Confirmed
2020-06-02,mn,3,Recovered
2020-06-02,mn,0,Deceased
2020-06-02,mp,137,Confirmed
2020-06-02,mp,218,Recovered
2020-06-02,mp,6,Deceased
2020-06-02,mz,12,Confirmed
2020-06-02,mz,0,Recovered
2020-06-02,mz,0,Deceased
2020-06-02,nl,6,Confirmed
2020-06-02,nl,0,Recovered
2020-06-02,nl,0,Deceased
2020-06-02,or,141,Confirmed
2020-06-02,or,80,Recovered
2020-06-02,or,0,Deceased
2020-06-02,pb,41,Confirmed
2020-06-02,pb,17,Recovered
2020-06-02,pb,2,Deceased
2020-06-02,py,0,Confirmed
2020-06-02,py,0,Recovered
2020-06-02,py,0,Deceased
2020-06-02,rj,273,Confirmed
2020-06-02,rj,222,Recovered
2020-06-02,rj,4,Deceased
2020-06-02,sk,0,Confirmed
2020-06-02,sk,0,Recovered
2020-06-02,sk,0,Deceased
2020-06-02,tg,99,Confirmed
2020-06-02,tg,35,Recovered
2020-06-02,tg,4,Deceased
2020-06-02,tn,1091,Confirmed
2020-06-02,tn,536,Recovered
2020-06-02,tn,13,Deceased
2020-06-02,tr,48,Confirmed
2020-06-02,tr,0,Recovered
2020-06-02,tr,0,Deceased
2020-06-02,tt,8815,Confirmed
2020-06-02,tt,4531,Recovered
2020-06-02,tt,222,Deceased
2020-06-02,un,784,Confirmed
2020-06-02,un,0,Recovered
2020-06-02,un,0,Deceased
2020-06-02,up,368,Confirmed
2020-06-02,up,146,Recovered
2020-06-02,up,7,Deceased
2020-06-02,ut,84,Confirmed
2020-06-02,ut,30,Recovered
2020-06-02,ut,2,Deceased
2020-06-02,wb,396,Confirmed
2020-06-02,wb,104,Recovered
2020-06-02,wb,10,Deceased
