DateStr,State,Count,Status
2020-06-01,an,0,Confirmed
2020-06-01,an,0,Recovered
2020-06-01,an,0,Deceased
2020-06-01,ap,105,Confirmed
2020-06-01,ap,34,Recovered
2020-06-01,ap,2,Deceased
2020-06-01,ar,18,Confirmed
2020-06-01,ar,0,Recovered
2020-06-01,ar,0,Deceased
2020-06-01,as,146,Confirmed
2020-06-01,as,99,Recovered
2020-06-01,as,0,Deceased
2020-06-01,br,138,Confirmed
2020-06-01,br,221,Recovered
2020-06-01,br,0,Deceased
2020-06-01,ch,4,Confirmed
2020-06-01,ch,15,Recovered
2020-06-01,ch,0,Deceased
2020-06-01,ct,49,Confirmed
2020-06-01,ct,7,Recovered
2020-06-01,ct,0,Deceased
2020-06-01,dd,0,Confirmed
2020-06-01,dd,0,Recovered
2020-06-01,dd,0,Deceased
2020-06-01,dl,990,Confirmed
2020-06-01,dl,268,Recovered
2020-06-01,dl,50,Deceased
2020-06-01,dn,1,Confirmed
2020-06-01,dn,0,Recovered
2020-06-01,dn,0,Deceased
2020-06-01,ga,2,Confirmed
2020-06-01,ga,6,Recovered
2020-06-01,ga,0,Deceased
2020-06-01,gj,423,Confirmed
2020-06-01,gj,861,Recovered
2020-06-01,gj,25,Deceased
2020-06-01,hp,9,Confirmed
2020-06-01,hp,2,Recovered
2020-06-01,hp,0,Deceased
2020-06-01,hr,265,Confirmed
2020-06-01,hr,7,Recovered
2020-06-01,hr,1,Deceased
2020-06-01,jh,26,Confirmed
2020-06-01,jh,40,Recovered
2020-06-01,jh,0,Deceased
2020-06-01,jk,155,Confirmed
2020-06-01,jk,19,Recovered
2020-06-01,jk,3,Deceased
2020-06-01,ka,187,Confirmed
2020-06-01,ka,110,Recovered
2020-06-01,ka,1,Deceased
2020-06-01,kl,57,Confirmed
2020-06-01,kl,18,Recovered
2020-06-01,kl,1,Deceased
2020-06-01,la,0,Confirmed
2020-06-01,la,0,Recovered
2020-06-01,la,0,Deceased
2020-06-01,ld,0,Confirmed
2020-06-01,ld,0,Recovered
2020-06-01,ld,0,Deceased
2020-06-01,mh,2358,Confirmed
2020-06-01,mh,779,Recovered
2020-06-01,mh,76,Deceased
2020-06-01,ml,1,Confirmed
2020-06-01,ml,0,Recovered
2020-06-01,ml,0,Deceased
2020-06-01,mn,12,Confirmed
2020-06-01,mn,0,Recovered
2020-06-01,mn,0,Deceased
2020-06-01,mp,194,Confirmed
2020-06-01,mp,161,Recovered
2020-06-01,mp,8,Deceased
2020-06-01,mz,0,Confirmed
2020-06-01,mz,0,Recovered
2020-06-01,mz,0,Deceased
2020-06-01,nl,0,Confirmed
2020-06-01,nl,0,Recovered
2020-06-01,nl,0,Deceased
2020-06-01,or,156,Confirmed
2020-06-01,or,119,Recovered
2020-06-01,or,0,Deceased
2020-06-01,pb,38,Confirmed
2020-06-01,pb,13,Recovered
2020-06-01,pb,-1,Deceased
2020-06-01,py,9,Confirmed
2020-06-01,py,0,Recovered
2020-06-01,py,0,Deceased
2020-06-01,rj,269,Confirmed
2020-06-01,rj,181,Recovered
2020-06-01,rj,5,Deceased
2020-06-01,sk,0,Confirmed
2020-06-01,sk,0,Recovered
2020-06-01,sk,0,Deceased
2020-06-01,tg,94,Confirmed
2020-06-01,tg,63,Recovered
2020-06-01,tg,6,Deceased
2020-06-01,tn,1162,Confirmed
2020-06-01,tn,413,Recovered
2020-06-01,tn,11,Deceased
2020-06-01,tr,107,Confirmed
2020-06-01,tr,0,Recovered
2020-06-01,tr,0,Deceased
2020-06-01,tt,7723,Confirmed
2020-06-01,tt,3892,Recovered
2020-06-01,tt,201,Deceased
2020-06-01,un,139,Confirmed
2020-06-01,un,0,Recovered
2020-06-01,un,0,Deceased
2020-06-01,up,286,Confirmed
2020-06-01,up,187,Recovered
2020-06-01,up,5,Deceased
2020-06-01,ut,52,Confirmed
2020-06-01,ut,120,Recovered
2020-06-01,ut,0,Deceased
2020-06-01,wb,271,Confirmed
2020-06-01,wb,149,Recovered
2020-06-01,wb,8,Deceased
